标题,小区名d:\projects\DSL\college_departments.csv d:\projects\DSL\cr_tsh.py地区板块,户型,面积,朝向,装修,楼层,关注信息,房屋总价,房屋单价
秀川建工颐景 精装修两室 中高楼层 满二 随时过户,建工颐景住宅小区,秀川,2室1厅,92.77平米,东南,精装,高楼层(共34层),0人关注 / 24天以前发布, 66万,"7,115元/平"
渭源路 南河新村 东西通透 正规两室两厅  近学 校,南河新村小区,渭源路,2室2厅,84平米,东 西,简装,中楼层(共6层),0人关注 / 1个月以前发布, 65万,"7,739元/平"
文化宫 两室两厅 可按揭 拎包入住,林家佳苑,上西园,2室1厅,88.26平米,东,简装,中楼层(共10层),0人关注 / 4个月以前发布, 37万,"4,193元/平"
海关地铁口 金水湾两室落地窗 朝南,众邦金水湾,海关,2室2厅,107.05平米,南,简装,低楼层(共26层),0人关注 / 6个月以前发布, 86万,"8,034元/平"
东瓯逸景北 省气象局地铁口 两室两厅 南北通透,甘肃省气象局家属院,段家滩,2室2厅,68.38平米,南 北,简装,中楼层(共6层),0人关注 / 6个月以前发布, 62万,"9,067元/平"
业主急售，价格好商量，看房方便,水电四局安装分局家属院,临洮街,2室1厅,54.16平米,南 北,简装,低楼层(共6层),0人关注 / 30天以前发布, 20万,"3,693元/平"
黄河北  三室两厅  毛坯 成熟商圈,元森北新时代（石榴园）,黄河北,3室1厅,103平米,西北,毛坯,中楼层(共35层),1人关注 / 2个月以前发布, 66万,"6,408元/平"
铁路局新建商品房，内庭结构，园林水系！,逸品华府,火车站,3室2厅,121.09平米,南 北,其他,中楼层(共33层),0人关注 / 一年前发布, 280万,"23,124元/平"
火车站次新小区电梯房，小区绿化高好，环境优美,兰州银行职工住宅小区,火车站,2室1厅,93.57平米,南,毛坯,低楼层(共34层),0人关注 / 1个月以前发布, 116万,"12,398元/平"
户型方正 落地窗 格局好 视野开阔 飘窗  人车分流,甘肃农垦家园,二热,2室2厅,92.22平米,南 北,简装,低楼层(共32层),0人关注 / 6个月以前发布, 53万,"5,748元/平"
南昌路 两室一厅 南北户型 低楼层 布局紧凑 视线开阔,中科院近物所南昌路家属院（二区）,渭源路,2室1厅,60平米,南 北,简装,低楼层(共5层),0人关注 / 25天以前发布, 45万,"7,500元/平"
万里东区 楼层好采光好 看房有钥匙,万里厂家属院东村,费家营,2室1厅,53平米,南 北,其他,高楼层(共6层),0人关注 / 27天以前发布, 26万,"4,906元/平"
南北通透 园林小区 拎包入住 可按揭,明仁花苑,上西园,2室2厅,105.13平米,南 北,精装,中楼层(共8层),0人关注 / 3个月以前发布, 83万,"7,895元/平"
火车站电梯房两室一厅采光视野好产权清晰看房方便,红山雅轩,火车站,2室1厅,87.74平米,南,简装,高楼层(共33层),0人关注 / 5个月以前发布, 62万,"7,067元/平"
广场东口地铁口 框架 两居室 看房方便 业主在兰,省测绘局家属院（东岗西路）,东方红广场,2室1厅,61.8平米,南 北,其他,高楼层(共8层),0人关注 / 1个月以前发布, 49.8万,"8,059元/平"
户型方正，南北通透，即买即装修，配套成熟,绿地智慧金融城学府大境,兰州新区,3室2厅,123.15平米,南 北,毛坯,低楼层(共33层),0人关注 / 18天以前发布, 50万,"4,061元/平"
铁一院云祥小区，电梯房，楼层高，视线不遮挡,铁一院云祥小区,五泉广场,2室1厅,75.46平米,东南,其他,高楼层(共28层),0人关注 / 1个月以前发布, 108万,"14,313元/平"
碧桂园二期 精装修的两室两厅，前排视野采光无遮挡,海德郡五号院,碧桂园,2室1厅,75.51平米,南 北,精装,中楼层(共26层),0人关注 / 一年前发布, 39.9万,"5,285元/平"
兰石豪布斯卡珑园 3室1厅 南,兰石豪布斯卡珑园,豪布斯卡,3室1厅,115.76平米,南,其他,低楼层(共30层),0人关注 / 2个月以前发布, 120万,"10,367元/平"
定西路东口省中医附属医院兰新东部市场民航家属院,民航小区,二热,2室2厅,63平米,东 西,简装,中楼层(共7层),0人关注 / 5个月以前发布, 54.6万,"8,667元/平"
福临小区 低楼层 南北向 采光好 总价低,福临小区,金城公园,2室1厅,61.97平米,南 北,简装,低楼层(共8层),0人关注 / 1个月以前发布, 46万,"7,423元/平"
火车站西路地铁二号线康宁园  框架结构可按揭 诚心卖,康宁园住宅小区,火车站,2室1厅,65平米,西,毛坯,中楼层(共8层),0人关注 / 2个月以前发布, 45万,"6,924元/平"
豪布斯卡璟园正规两室··户型方正无浪费,兰石豪布斯卡璟园,豪布斯卡,2室1厅,102平米,南,毛坯,中楼层(共30层),1人关注 / 一年前发布, 109万,"10,687元/平"
秀川新村 50.82平2室 好房出售,秀川新村,秀川,2室1厅,50.82平米,南 北,简装,低楼层(共6层),0人关注 / 1个月以前发布, 24万,"4,723元/平"
绿地四期两室毛坯，全朝南，明厨明卫，西却户型，,绿地瓦萨公馆,兰州新区,2室2厅,84.63平米,南 北,简装,中楼层(共25层),0人关注 / 一年前发布, 39万,"4,609元/平"
大众巷 电梯 一室一厅 精装修,大众巷小高层,西关南关,1室1厅,44.11平米,东,精装,高楼层(共15层),0人关注 / 4个月以前发布, 32万,"7,255元/平"
上西园 新高层 两室 精装修 可按揭,新华园小区,建工局,2室2厅,93.67平米,南,精装,高楼层(共32层),0人关注 / 20天以前发布, 90万,"9,609元/平"
广场附  采光无遮挡  交通便利 生活便利 可随时看房,林业厅家属院（甘南路）,东方红广场,2室1厅,52.22平米,南,其他,低楼层(共9层),0人关注 / 1个月以前发布, 50万,"9,575元/平"
小西湖地铁口 电梯房  三室两厅 南北通透 产权清晰,倚能·金河家园,小西湖,3室2厅,113.66平米,南 北,简装,中楼层(共8层),0人关注 / 一年前发布, 128万,"11,262元/平"
火车站电梯房中间楼层落地大窗采光充足产权清晰可按揭,红山绿茵小区,火车站,1室1厅,58.25平米,南,其他,高楼层(共25层),0人关注 / 28天以前发布, 32万,"5,494元/平"
"东郊乡三室一厅,采光视野无遮挡,交通出行便利",甘肃省秦剧团家属院,渭源路,3室1厅,77.62平米,南 北,简装,低楼层(共6层),1人关注 / 一年前发布, 48万,"6,184元/平"
毛坯，有产权，可按揭，户型方正，通风采光好。,兰西铁苑A区,小平房,2室1厅,86.79平米,南,毛坯,低楼层(共34层),1人关注 / 一年前发布, 45万,"5,185元/平"
中医附属医院家属院 两室两厅 房型方 正楼层佳,甘肃省中医学院附属医院家属院,东湖,2室1厅,64.74平米,南,其他,中楼层(共8层),0人关注 / 2个月以前发布, 46万,"7,106元/平"
静安小户型低楼层 首付低，生活设施配套完善。,静安小区,西关南关,2室0厅,53.42平米,东 北,简装,低楼层(共12层),0人关注 / 3个月以前发布, 36.5万,"6,833元/平"
马路之隔奥体万达茂  三室两卫 现房小区,绿城兰州诚园明礼苑,奥体中心,3室1厅,118.15平米,南 北,毛坯,低楼层(共34层),0人关注 / 2个月以前发布, 107万,"9,057元/平"
铁路局电梯高层单位福利房 铁一五十四 可按揭诚心出售,铁一院云祥小区,五泉广场,2室2厅,75.46平米,东北,简装,低楼层(共28层),0人关注 / 1个月以前发布, 85万,"11,265元/平"
地铁口新小区 毛坯房南北通透 采光视野好 可按揭,轨道城市曙光,东岗,2室2厅,103.59平米,南 北,毛坯,高楼层(共32层),0人关注 / 3个月以前发布, 79万,"7,627元/平"
西站首付20铁建馨苑两室两厅南北通透明厨明卫毛坯,铁建馨苑,龚家湾,2室2厅,93.94平米,南 北,毛坯,低楼层(共34层),0人关注 / 11个月以前发布, 52.5万,"5,589元/平"
奥体万达茂刚交付三室毛坯好房源,绿城兰州诚园明礼苑,奥体中心,3室2厅,100.4平米,南,毛坯,低楼层(共30层),0人关注 / 3个月以前发布, 88万,"8,765元/平"
碧桂园主道路旁三室两厅南北通透带车位出售价格可谈,爱丁堡,碧桂园,3室2厅,106.56平米,南 北,精装,中楼层(共29层),0人关注 / 6个月以前发布, 65万,"6,100元/平"
民东小区电梯房 正规两室一厅 朝南 可按揭 价格可谈,民东小区,东方红广场,2室1厅,69.04平米,南,简装,高楼层(共30层),0人关注 / 6个月以前发布, 85万,"12,312元/平"
吴家园一毛厂，三室一厅，精装修，中间楼层，产权清晰,吴家园一毛厂家属院,兰州中心,3室1厅,51.9平米,南 北,精装,低楼层(共6层),0人关注 / 2个月以前发布, 49.8万,"9,596元/平"
业主急售 康乐园 铁四 五十六  电梯房 南北通通,康乐园小区,火车站,2室1厅,61平米,南 北,简装,中楼层(共8层),0人关注 / 2个月以前发布, 58万,"9,509元/平"
东南两室  餐客一体 空间大 适宜住家 交通便利,雁滩家园B区,万达大润发,2室1厅,99平米,东南,其他,高楼层(共32层),0人关注 / 4个月以前发布, 86万,"8,687元/平"
此房高楼层，视野开阔，小区人车分流，19年新高层,航天和美,渭源路,2室1厅,76.21平米,西北,毛坯,中楼层(共28层),0人关注 / 8个月以前发布, 113万,"14,828元/平"
东部商圈 欣欣茗园 好房出售 全南户型 大落地窗急售,欣欣茗园,段家滩,2室2厅,106.12平米,南,简装,高楼层(共32层),0人关注 / 9个月以前发布, 95万,"8,953元/平"
西站首付16万三室两厅南北通透明厨明卫小区环境优美,中海铂悦府三期,龚家湾,3室2厅,90.33平米,南 北,精装,高楼层(共28层),0人关注 / 6个月以前发布, 81万,"8,968元/平"
三角花园  两室  西南向 可按揭随时看,机运小区（红山根东路）,火车站,2室1厅,55平米,南 北,简装,中楼层(共8层),0人关注 / 5个月以前发布, 23.8万,"4,328元/平"
渭源路十字近物所二区 两居小户型 产权清晰 停车方便,中科院近物所南昌路家属院（二区）,渭源路,2室1厅,57平米,南 北,简装,中楼层(共5层),0人关注 / 1个月以前发布, 42万,"7,369元/平"
永新华的河景房，采光视野好，大三室,永新华世界湾,海关,3室2厅,173.52平米,南 北,精装,低楼层(共34层),0人关注 / 一年前发布, 109万,"6,282元/平"
工农村南区  一提两户 产权清晰 可按揭,工农村南区,天鹅湖,2室2厅,63.48平米,东 北 西,其他,低楼层(共8层),0人关注 / 12天以前发布, 36万,"5,672元/平"
格林小镇 两室 中间楼层 无遮挡 精装修 停车方便,天庆格林小镇西区,雁滩高新区,2室2厅,98.29平米,南,精装,中楼层(共32层),0人关注 / 13天以前发布, 116万,"11,802元/平"
雁北路 精装未入住 2室 带全套家具 可按揭,金川•聚金雅园,北面滩,2室1厅,91.49平米,南,精装,中楼层(共33层),0人关注 / 4个月以前发布, 79.8万,"8,723元/平"
出售雅苑三室精装，中间楼层，视野开阔,瑞岭雅苑,兰州新区,3室2厅,124.04平米,南 北,精装,中楼层(共18层),0人关注 / 8个月以前发布, 72.8万,"5,870元/平"
万达茂奥体地铁口，三室两卫精装修南北通透,保利理想城,奥体中心,3室2厅,116.27平米,南 北,精装,中楼层(共31层),0人关注 / 4个月以前发布, 123万,"10,579元/平"
广武门电梯 四室两厅  精装修  三十五,广武嘉苑,广武门,4室2厅,123.46平米,南 北,精装,中楼层(共31层),0人关注 / 1个月以前发布, 255万,"20,655元/平"
新区二号湖边 地段好 配套成熟 交通便利 生活方便,智慧金融城H区,兰州新区,3室2厅,107.59平米,南 北,毛坯,中楼层(共30层),0人关注 / 8个月以前发布, 45万,"4,183元/平"
银河国际一楼带花园 精装修 三室南北通透 花园大,银河国际A区,碧桂园,3室1厅,114.66平米,南 北,精装,低楼层(共25层),0人关注 / 3个月以前发布, 120万,"10,466元/平"
文化宫地铁口！两室一厅电梯房 户型方正 产权清晰,兆烽嘉园,文化宫,2室1厅,85.01平米,西,简装,中楼层(共9层),0人关注 / 4个月以前发布, 69.8万,"8,211元/平"
精装，楼层佳，采光视野好，交通便利，绿化环境好,中海凯旋门,海关,3室2厅,120.67平米,南 北,精装,高楼层(共33层),0人关注 / 1个月以前发布, 139万,"11,520元/平"
此房目前空置，在小区中间位置，房子楼层采光充足,大名城D区蓝郡,榆中县,3室2厅,130.6平米,南 北,毛坯,中楼层(共18层),0人关注 / 一年前发布, 53万,"4,059元/平"
此房是钢混此房南北通透，中间楼层，采光好,省电信器材场家属院,兰大盘旋路,2室1厅,61.94平米,南 北,简装,中楼层(共6层),0人关注 / 22天以前发布, 120万,"19,374元/平"
碧桂园三期园丁园毛坯边户三室两厅两卫户型,碧桂园园丁园,碧桂园,3室2厅,119.76平米,南 北,毛坯,低楼层(共26层),0人关注 / 8个月以前发布, 54万,"4,510元/平"
绿色市场旁边中间楼层，交通便利，小户型住房,红西村社区（红山根西村/红山根西路）,火车站,2室1厅,58.29平米,南 北,简装,中楼层(共8层),0人关注 / 3个月以前发布, 27.5万,"4,718元/平"
兰石家园 小区配套齐全 交通便利 环境好,兰石家园,兰州新区,3室2厅,104.76平米,南 北,简装,高楼层(共16层),1人关注 / 10个月以前发布, 43.8万,"4,181元/平"
广场 盘旋路 农民巷 两室一厅 南北通透 随时看房,省教委家属院,渭源路,2室1厅,45.98平米,南 北,其他,中楼层(共5层),0人关注 / 25天以前发布, 41万,"8,917元/平"
公园跟前  好楼层  南北通透  业主急售,西固区人民政府家属院,金城公园,2室1厅,72.66平米,南 北,简装,中楼层(共6层),0人关注 / 24天以前发布, 47.8万,"6,579元/平"
小区环境优美 水系景观 小区绿化很好 物业费便,天恒·银滩花园B区,马滩,2室2厅,93.17平米,南,其他,低楼层(共32层),0人关注 / 6个月以前发布, 77万,"8,265元/平"
电梯房 中间楼层 秦安路  工商局家属院产权按揭,新华港社区（华亭街）,广武门,2室2厅,91平米,东南,简装,中楼层(共9层),0人关注 / 8个月以前发布, 77万,"8,462元/平"
西固热电二区 2室1厅 南 北,西固热电二区,金城公园,2室1厅,45.47平米,南 北,精装,中楼层(共5层),0人关注 / 3个月以前发布, 36万,"7,918元/平"
房子户型方正，有电梯，出行方便，单价低，看房方便。,中廣宜景湾·尚城,北面滩,2室2厅,110.11平米,东北,毛坯,低楼层(共33层),0人关注 / 一年前发布, 96.8万,"8,792元/平"
万达商圈 河景房 客厅、卧室都可看到黄河 高层 视野佳,中广 · 宜景湾,万达大润发,2室1厅,100.55平米,西 北,其他,高楼层(共33层),1人关注 / 3个月以前发布, 125万,"12,432元/平"
万达茂，交通方便，可随时看房。,万达观澜,奥体中心,3室2厅,125.72平米,东南,精装,中楼层(共25层),0人关注 / 2个月以前发布, 140万,"11,136元/平"
